year,value
2004,146273.41
2005,156885.17
2006,168798.05
2007,184850.33
2008,176858.65
2009,161341.60
2010,170708.59
2011,168407.19
2012,169386.39
2013,173838.87
2014,187872.75
2015,199094.80
2015,213626.39
2017,218215.61
